,WT2_S2_L001,WT1_S1_L001,KO1_S4_L001,WT3_S3_L001,KO2_S5_L001,KO3_S6_L001
ENSMUSG00000028822,3284.0,4484.0,3629.0,4445.0,3256.0,4695.0
ENSMUSG00000028825,56.0,44.0,22.0,11.0,155.0,11.0
ENSMUSG00000028826,2736.0,3023.0,3398.0,3072.0,2524.0,3149.0
ENSMUSG00000028830,2793.0,2572.0,3091.0,2820.0,2214.0,2407.0
ENSMUSG00000028832,9075.94,13488.68,12380.06,13494.21,10331.89,16362.09
ENSMUSG00000028833,2399.0,2787.0,3032.0,2870.0,1875.0,3055.0
ENSMUSG00000028834,5.0,1.0,9.0,7.0,7.0,8.0
ENSMUSG00000028836,109.0,109.0,141.0,102.0,87.0,146.0
ENSMUSG00000028837,2610.0,3489.0,3027.0,3569.0,2811.0,4038.0
ENSMUSG00000028838,457.0,651.0,598.0,553.0,482.0,270.0
ENSMUSG00000028840,177.41,231.39,215.26,277.64,212.34,235.12
ENSMUSG00000028841,517.0,565.0,678.0,553.0,437.0,557.0
ENSMUSG00000028842,720.71,644.55,718.76,586.08,301.18,611.45
ENSMUSG00000028843,1864.0,2511.95,2139.85,2411.92,2113.77,3039.03
ENSMUSG00000028845,158.0,158.93,222.15,172.92,268.0,207.0
ENSMUSG00000028847,2075.0,2471.0,2230.0,2547.0,2083.0,2665.0
ENSMUSG00000028848,439.0,579.0,451.0,659.0,417.0,523.0
ENSMUSG00000028849,1603.0,1624.0,2092.0,1933.0,1386.0,1978.0
ENSMUSG00000028850,177.0,263.0,211.0,305.0,184.0,280.0
ENSMUSG00000028851,6420.0,8106.0,6582.0,7919.0,5167.0,8937.0
ENSMUSG00000028854,2208.0,2165.0,2638.0,2276.17,1532.0,1941.0
ENSMUSG00000028857,1159.0,1457.0,1368.0,1554.0,1278.0,1591.0
ENSMUSG00000028859,207.0,200.0,232.0,160.0,183.0,128.0
ENSMUSG00000028860,1255.0,1816.0,1141.0,1646.0,1391.0,800.0
ENSMUSG00000028861,845.0,1364.0,1171.0,1304.0,988.0,1630.0
ENSMUSG00000028862,69.0,68.0,89.0,90.0,93.0,49.0
ENSMUSG00000028863,1454.0,1605.0,2018.0,1712.0,1279.0,1936.0
ENSMUSG00000028864,215.24,231.21,209.75,197.32,145.74,112.57
ENSMUSG00000028865,12.0,17.0,7.0,9.0,29.0,9.0
ENSMUSG00000028868,3649.0,2962.0,4280.0,3400.0,2662.0,3259.0
ENSMUSG00000028869,1195.0,1367.0,1529.0,1501.0,1146.0,1459.0
ENSMUSG00000028871,426.0,458.0,343.0,660.0,441.0,535.0
ENSMUSG00000028873,222.0,242.0,345.0,259.0,255.0,367.0
ENSMUSG00000028874,96.0,79.0,92.0,69.0,92.0,63.0
ENSMUSG00000028876,6.0,0.0,3.0,2.0,0.0,0.0
ENSMUSG00000028878,1365.0,1418.0,1469.0,1604.0,1252.0,1350.0
ENSMUSG00000028879,3722.0,3715.0,4098.0,4209.0,2790.0,3973.0
ENSMUSG00000028882,1371.0,1667.0,1589.0,1719.0,1267.0,1799.0
ENSMUSG00000028883,503.0,442.0,598.0,494.0,361.0,489.0
ENSMUSG00000028884,331.0,571.0,537.0,475.0,441.0,621.0
ENSMUSG00000028885,222.0,279.0,298.0,276.0,479.0,319.0
ENSMUSG00000028886,1510.0,1362.0,1686.0,1502.0,1078.0,1371.0
ENSMUSG00000028889,916.24,950.17,893.85,1036.2,805.41,1002.15
ENSMUSG00000028890,1431.72,1173.06,1162.19,1350.57,728.29,1115.57
ENSMUSG00000028893,659.0,691.0,901.0,713.0,537.0,789.0
ENSMUSG00000028894,1184.0,1075.0,1308.0,1243.0,1169.0,1062.0
ENSMUSG00000028896,463.0,537.0,525.0,485.0,427.0,630.0
ENSMUSG00000028898,582.0,718.0,525.0,725.0,538.0,732.0
ENSMUSG00000028899,709.0,888.0,862.0,868.0,678.0,1073.0
ENSMUSG00000028901,749.0,743.0,926.0,685.0,569.0,669.0
ENSMUSG00000028902,1305.0,1574.0,1732.0,1677.0,1171.0,1726.0
ENSMUSG00000028906,3404.0,2818.0,3791.0,3146.0,2769.0,2806.0
ENSMUSG00000028907,604.0,629.0,686.0,732.0,638.0,758.0
ENSMUSG00000028909,409.0,210.0,303.0,332.0,436.0,423.0
ENSMUSG00000028910,603.0,870.0,737.0,806.0,689.0,985.0
ENSMUSG00000028911,3047.17,3796.55,4223.65,3946.63,2802.73,4389.17
ENSMUSG00000028914,1324.0,1236.0,1538.0,1436.0,962.0,1313.0
ENSMUSG00000028917,1658.0,1610.0,1989.0,1897.0,1379.0,1716.0
ENSMUSG00000028919,1337.0,1362.0,679.0,1475.0,621.0,616.0
ENSMUSG00000028920,1463.0,1382.0,1245.0,1423.0,870.0,1113.0
ENSMUSG00000028923,1171.0,1295.0,988.0,1451.0,1100.0,1096.0
ENSMUSG00000028926,1876.0,1346.0,1763.0,1664.0,1239.0,1308.0
ENSMUSG00000028927,3253.73,3909.95,2658.0,4018.9,2308.93,3115.0
ENSMUSG00000028931,7743.0,9014.0,7350.0,9842.0,5334.0,7982.0
ENSMUSG00000028932,3395.0,4442.0,3995.0,4665.0,3381.0,4450.0
ENSMUSG00000028933,202.0,165.0,199.0,234.0,150.0,159.0
ENSMUSG00000028936,4886.77,6239.77,5234.7,6586.69,5814.92,7101.31
ENSMUSG00000028937,357.0,395.0,344.0,385.0,350.0,490.0
ENSMUSG00000028938,0.0,0.0,0.0,3.0,0.0,0.0
ENSMUSG00000028940,1.0,0.0,4.0,3.0,4.0,1.0
ENSMUSG00000028943,844.0,1078.0,882.0,1028.0,720.0,1111.0
ENSMUSG00000028944,666.0,739.0,735.0,789.0,716.0,910.0
ENSMUSG00000028945,2415.0,2307.0,2088.0,2590.0,1876.0,2081.0
ENSMUSG00000028946,0.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000028948,740.0,733.0,600.0,687.0,561.0,687.0
ENSMUSG00000028949,319.65,361.62,377.33,386.16,293.25,434.39
ENSMUSG00000028950,145.0,215.0,202.0,162.0,139.0,198.0
ENSMUSG00000028952,328.0,410.0,291.0,395.0,260.0,355.0
ENSMUSG00000028953,2296.0,2276.0,2445.0,2483.0,1990.0,2240.0
ENSMUSG00000028954,2317.92,2696.86,2957.77,2614.73,2087.77,2791.78
ENSMUSG00000028955,1211.0,1357.0,826.0,1381.0,865.0,1385.0
ENSMUSG00000028957,893.0,831.0,853.0,867.0,699.0,797.0
ENSMUSG00000028958,974.0,1386.0,1100.0,1299.0,986.0,1290.0
ENSMUSG00000028959,1569.66,1540.66,1664.75,1686.42,1628.7,1513.02
ENSMUSG00000028960,2374.0,1931.95,2180.04,2250.0,1558.0,2164.99
ENSMUSG00000028961,4997.0,5641.0,6226.0,5842.0,4874.0,6055.0
ENSMUSG00000028962,2867.34,2684.51,2937.35,3027.58,2291.3,3006.98
ENSMUSG00000028963,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUSG00000028964,4069.0,6011.0,4338.0,6002.0,4374.0,6794.0
ENSMUSG00000028965,14.0,19.0,17.0,20.0,14.0,16.0
ENSMUSG00000028967,973.0,735.0,983.0,864.0,822.0,726.0
ENSMUSG00000028969,1306.0,1541.0,1394.0,1512.0,1331.0,1704.0
ENSMUSG00000028970,39.98,38.68,42.07,37.73,32.01,37.77
ENSMUSG00000028971,0.0,3.0,8.0,1.0,2.0,1.0
ENSMUSG00000028972,4112.0,2.0,309.0,5.0,804.0,85.0
ENSMUSG00000028973,1004.0,1249.0,1164.0,1201.0,1085.0,1057.0
ENSMUSG00000028974,726.82,800.0,894.62,858.34,681.27,856.0
ENSMUSG00000028975,1562.43,1641.53,1506.04,1993.7,1362.31,1763.29
ENSMUSG00000028976,13.0,5.0,6.0,1.0,61.0,8.0
ENSMUSG00000028977,2048.62,1763.28,1762.19,1825.0,1044.96,1382.19
ENSMUSG00000028978,94.63,101.99,132.03,87.09,85.06,112.38
ENSMUSG00000028979,0.0,5.96,10.0,3.0,7.0,4.0
ENSMUSG00000028980,733.0,626.0,595.0,717.0,570.0,600.0
ENSMUSG00000028982,1312.0,1720.29,1711.31,1827.86,1595.04,1856.64
ENSMUSG00000028986,1419.0,1320.0,1284.0,1307.0,996.0,1165.0
ENSMUSG00000028988,1430.56,1783.0,2124.0,1992.12,1481.0,2015.8
ENSMUSG00000028989,33.0,33.0,54.0,39.0,68.0,100.0
ENSMUSG00000028990,538.0,552.0,588.0,588.0,465.0,539.0
ENSMUSG00000028991,2137.0,1563.0,2079.0,1881.0,1236.0,1427.0
ENSMUSG00000028992,204.0,296.57,354.16,303.85,265.0,266.93
ENSMUSG00000028995,2136.0,1617.0,1834.0,1900.0,1233.0,1756.0
ENSMUSG00000028996,15.0,6.0,30.0,5.0,41.0,8.0
ENSMUSG00000028998,1972.0,2684.0,1915.0,2752.0,1990.0,2938.0
ENSMUSG00000028999,684.0,707.98,667.99,688.97,522.99,513.87
ENSMUSG00000029001,366.0,449.0,127.0,543.0,153.0,454.0
ENSMUSG00000029003,476.0,584.0,412.0,558.0,451.0,766.0
ENSMUSG00000029004,3831.07,2903.96,3789.65,3297.3,2371.94,2358.27
ENSMUSG00000029005,124.0,137.0,104.0,151.0,62.0,133.0
ENSMUSG00000029007,2187.0,2425.0,1409.0,2674.0,1174.0,2384.0
ENSMUSG00000029009,1975.24,1703.0,1612.0,1782.0,1029.92,1308.0
ENSMUSG00000029012,596.0,656.0,746.0,682.0,544.0,791.0
ENSMUSG00000029014,841.0,1096.0,971.0,1157.0,839.0,1206.0
ENSMUSG00000029015,3.0,3.0,2.0,2.0,1.0,0.0
ENSMUSG00000029016,1270.0,1240.0,1844.0,1492.0,1084.0,1450.0
ENSMUSG00000029017,2164.0,2364.0,2162.0,2598.0,2012.0,2389.0
ENSMUSG00000029019,0.0,2.0,0.0,0.0,0.0,0.0
ENSMUSG00000029020,4015.0,3888.0,3477.0,4308.0,2165.0,4092.0
ENSMUSG00000029022,347.0,462.0,184.0,387.0,257.0,535.0
ENSMUSG00000029026,152.0,51.78,104.0,117.82,200.92,200.95
ENSMUSG00000029027,112.0,126.0,113.0,155.0,74.0,156.0
ENSMUSG00000029028,1439.83,1607.46,1638.59,1504.21,1065.61,1611.67
ENSMUSG00000029029,740.0,814.0,771.0,862.0,632.0,995.0
ENSMUSG00000029030,5404.0,6025.0,5761.0,6544.0,5048.0,6205.0
ENSMUSG00000029032,511.0,479.0,431.0,487.0,395.0,428.0
ENSMUSG00000029033,1095.0,1208.0,1418.0,1278.0,1041.0,1421.0
ENSMUSG00000029034,1099.42,1116.54,1177.47,1071.13,969.67,1326.25
ENSMUSG00000029036,642.0,761.0,777.0,691.0,597.0,749.0
ENSMUSG00000029038,3341.94,4117.17,3237.65,4545.48,3371.54,3963.28
ENSMUSG00000029044,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029047,348.0,396.0,403.0,357.0,351.0,331.0
ENSMUSG00000029048,4097.0,4952.0,4039.0,5478.0,3858.0,5071.0
ENSMUSG00000029049,498.0,520.0,703.0,591.0,563.0,745.0
ENSMUSG00000029050,3205.0,3081.0,3751.0,3167.0,2429.0,3244.0
ENSMUSG00000029053,2491.0,2600.0,2915.0,2863.0,2326.0,2762.0
ENSMUSG00000029054,16.0,25.0,6.0,30.0,9.0,11.0
ENSMUSG00000029055,580.0,490.0,648.0,564.0,414.0,520.0
ENSMUSG00000029056,666.0,763.0,751.0,790.0,557.0,636.0
ENSMUSG00000029059,6722.0,10825.0,6257.0,10869.0,5692.0,10342.0
ENSMUSG00000029060,1886.0,2167.0,2381.0,2019.0,1747.0,2310.0
ENSMUSG00000029061,223.0,192.0,251.0,212.0,190.0,306.0
ENSMUSG00000029062,2198.0,2990.0,2924.0,2794.0,1745.0,3493.0
ENSMUSG00000029063,3804.0,3982.0,3917.0,3858.0,3160.0,3799.0
ENSMUSG00000029064,65157.0,70445.0,70269.0,71974.0,48555.0,67206.0
ENSMUSG00000029066,1015.0,1280.0,1031.0,1455.0,1191.0,1453.0
ENSMUSG00000029068,1854.0,2256.0,2021.0,1868.0,1366.0,2343.0
ENSMUSG00000029070,1550.0,1516.66,2186.98,2055.0,1967.0,2243.0
ENSMUSG00000029071,2327.0,2029.0,2129.0,2330.0,1985.0,1861.0
ENSMUSG00000029072,47.0,68.0,57.0,51.0,25.0,44.0
ENSMUSG00000029073,665.0,670.0,662.0,782.0,628.0,824.0
ENSMUSG00000029074,423.0,452.0,440.0,401.0,355.0,546.0
ENSMUSG00000029075,15.0,12.0,10.0,10.0,9.0,21.0
ENSMUSG00000029076,8562.0,10218.0,9599.0,11053.0,8423.0,10393.0
ENSMUSG00000029082,27.0,32.0,28.0,19.0,48.0,25.0
ENSMUSG00000029084,85.0,70.0,92.0,110.0,142.0,164.0
ENSMUSG00000029086,1705.0,1283.0,1651.0,1549.0,1763.0,2037.61
ENSMUSG00000029088,389.0,387.0,442.49,447.0,289.0,305.0
ENSMUSG00000029089,556.0,502.0,579.0,536.0,461.0,582.0
ENSMUSG00000029090,1893.0,1853.0,2065.0,1959.0,1583.0,1973.0
ENSMUSG00000029092,1.0,0.0,1.0,0.0,1.0,1.0
ENSMUSG00000029093,465.0,298.0,515.0,432.0,471.0,393.0
ENSMUSG00000029094,1288.0,1183.0,1441.0,1177.0,724.0,1223.0
ENSMUSG00000029095,459.0,655.0,602.0,585.0,383.0,530.0
ENSMUSG00000029096,197.0,214.0,213.0,203.0,190.0,242.0
ENSMUSG00000029097,214.0,154.0,174.0,195.0,140.0,119.0
ENSMUSG00000029098,756.44,698.0,961.23,880.24,838.49,863.14
ENSMUSG00000029101,2646.53,2786.46,3033.57,2871.94,2145.48,2676.2
ENSMUSG00000029102,11.0,6.0,5.0,7.0,3.0,12.0
ENSMUSG00000029103,3456.0,3877.0,4004.0,4293.0,3521.0,3869.0
ENSMUSG00000029104,2251.0,1820.0,2420.0,1984.0,1277.0,1836.0
ENSMUSG00000029106,8532.0,8318.0,9649.0,9039.0,6756.0,8353.0
ENSMUSG00000029108,4691.36,3011.67,4540.04,3968.2,2625.35,3139.44
ENSMUSG00000029110,2770.0,2670.0,2962.0,2893.0,2384.0,2896.0
ENSMUSG00000029111,884.0,767.0,976.0,912.0,728.0,863.0
ENSMUSG00000029112,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029119,1085.0,1026.0,1184.0,1095.0,1139.0,1068.0
ENSMUSG00000029120,6001.0,5953.0,5344.0,5918.0,3474.0,4751.0
ENSMUSG00000029121,1833.0,2123.0,3016.0,2248.0,1885.0,2438.0
ENSMUSG00000029122,299.0,326.0,338.0,367.0,285.0,345.0
ENSMUSG00000029123,0.0,0.0,8.0,2.0,5.0,3.0
ENSMUSG00000029125,872.93,1010.51,958.14,899.32,954.63,871.69
ENSMUSG00000029126,29215.92,36149.0,33360.86,37856.3,25199.7,38559.1
ENSMUSG00000029127,225.0,254.0,244.0,220.0,128.0,161.0
ENSMUSG00000029128,2994.0,2977.0,3275.0,3449.0,2589.0,3253.0
ENSMUSG00000029130,588.0,694.0,570.0,662.0,499.0,641.0
ENSMUSG00000029131,3938.58,4126.16,4084.6,4406.37,3258.87,4706.4
ENSMUSG00000029134,2.0,8.0,13.0,14.0,11.0,16.0
ENSMUSG00000029135,648.0,409.0,505.0,459.0,446.0,467.0
ENSMUSG00000029136,277.0,389.0,312.0,412.0,331.0,323.0
ENSMUSG00000029138,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000029141,508.0,586.0,588.0,551.0,432.0,517.0
ENSMUSG00000029145,1354.91,1746.25,1504.55,1749.3,1582.33,2076.61
ENSMUSG00000029146,2513.11,2971.28,2759.6,3196.77,2657.48,3444.55
ENSMUSG00000029147,3206.0,3213.0,3406.0,3564.0,2793.0,3440.0
ENSMUSG00000029148,1663.0,1869.0,1907.0,1875.0,1584.0,2107.0
ENSMUSG00000029149,493.0,547.0,531.0,556.0,578.0,671.0
ENSMUSG00000029151,4.0,5.0,0.0,5.0,0.0,0.0
ENSMUSG00000029152,5287.86,6518.0,6145.09,6633.0,4654.97,6735.0
ENSMUSG00000029153,869.0,765.0,858.0,963.0,734.0,1019.0
ENSMUSG00000029154,945.0,1047.0,1031.0,1127.0,773.0,894.0
ENSMUSG00000029155,195.0,15.0,36.0,59.0,247.0,93.0
ENSMUSG00000029156,569.0,619.0,657.0,766.0,512.0,644.0
ENSMUSG00000029158,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000029161,173.0,307.0,255.0,270.0,389.0,392.0
ENSMUSG00000029162,511.0,814.0,472.0,841.0,595.0,741.0
ENSMUSG00000029163,1048.0,1094.0,1357.0,1263.0,1003.0,1390.0
ENSMUSG00000029165,1024.65,879.44,1118.22,952.94,780.46,813.85
ENSMUSG00000029166,2495.0,2574.0,2934.0,2786.0,2129.0,3227.0
ENSMUSG00000029167,1213.0,1047.0,1489.0,1192.0,705.0,1151.0
ENSMUSG00000029168,3634.0,3600.0,5157.0,3714.0,3085.0,4168.0
ENSMUSG00000029169,4521.0,3583.0,4308.0,4327.0,3263.0,3465.0
ENSMUSG00000029171,267.0,155.0,212.0,242.0,308.0,291.0
ENSMUSG00000029173,771.0,642.0,741.0,656.0,539.0,631.0
ENSMUSG00000029174,885.0,809.0,1048.0,839.0,695.0,872.0
ENSMUSG00000029175,870.0,998.0,1121.0,1083.05,870.0,1015.0
ENSMUSG00000029176,1333.0,1464.0,1687.0,1612.0,1328.0,2003.0
ENSMUSG00000029177,193.0,188.0,224.0,177.0,277.0,289.0
ENSMUSG00000029178,2024.5,1432.47,1878.86,1677.04,1439.07,1300.46
ENSMUSG00000029179,284.0,287.0,365.0,289.0,194.0,315.0
ENSMUSG00000029182,146.0,24.0,75.0,90.0,283.0,134.0
ENSMUSG00000029184,18.0,11.0,11.0,6.0,13.0,9.0
ENSMUSG00000029185,659.0,615.0,551.0,674.0,736.0,573.0
ENSMUSG00000029186,880.0,730.0,837.0,872.0,876.0,736.0
ENSMUSG00000029188,7.0,0.0,2.0,0.0,1.0,0.0
ENSMUSG00000029189,1894.0,1918.0,2006.0,1879.0,1531.0,1645.0
ENSMUSG00000029190,3378.59,3264.57,3723.66,3206.9,2127.0,3104.0
ENSMUSG00000029191,1590.0,1750.0,2015.0,1787.0,1375.0,1857.0
ENSMUSG00000029192,2040.0,1652.0,2013.0,1934.0,1325.0,1610.0
ENSMUSG00000029193,27.0,11.0,26.0,24.0,37.0,53.0
ENSMUSG00000029195,1.0,0.0,1.0,1.0,0.0,9.0
ENSMUSG00000029196,1392.08,1156.98,1443.76,1383.29,1064.46,1145.32
ENSMUSG00000029198,1901.92,2298.02,1849.24,2463.71,1997.54,2148.68
ENSMUSG00000029199,1793.0,2355.0,2377.0,2342.0,1894.0,2355.0
ENSMUSG00000029201,11019.86,10499.33,11434.98,11700.36,8309.45,8467.29
ENSMUSG00000029202,2938.93,2434.87,3032.72,2597.95,1959.98,2616.95
ENSMUSG00000029203,3031.0,3804.0,3823.0,3771.01,2609.0,3849.0
ENSMUSG00000029204,41.0,33.0,30.0,15.0,29.0,16.0
ENSMUSG00000029205,20.0,16.0,30.0,26.0,19.0,74.0
ENSMUSG00000029206,283.0,323.0,418.0,268.0,302.0,374.0
ENSMUSG00000029207,1356.0,1276.0,1442.0,1412.0,811.0,1348.0
ENSMUSG00000029208,628.94,734.27,619.6,641.64,456.67,623.99
ENSMUSG00000029209,1045.06,1010.73,1032.4,1189.36,862.33,894.01
ENSMUSG00000029211,40.0,10.0,14.0,4.0,152.0,17.0
ENSMUSG00000029212,9.0,11.0,13.0,20.0,11.0,24.0
ENSMUSG00000029213,1163.0,1346.0,1364.0,1359.0,1033.0,1394.0
ENSMUSG00000029217,217.0,255.0,258.0,251.0,157.0,289.0
ENSMUSG00000029219,29.39,10.57,17.27,18.0,15.59,25.66
ENSMUSG00000029221,3425.0,3695.0,3600.0,3762.0,2492.0,3739.0
ENSMUSG00000029223,9821.0,15185.0,11400.0,13953.0,9948.98,17644.0
ENSMUSG00000029227,2498.87,2683.9,2937.53,2662.99,1934.75,2754.35
ENSMUSG00000029228,409.13,327.1,314.47,435.01,308.25,322.65
ENSMUSG00000029229,1291.0,1276.0,1405.0,1428.0,1087.0,1394.0
ENSMUSG00000029231,893.15,911.3,1352.37,1019.0,1078.0,950.57
ENSMUSG00000029233,575.0,695.0,659.0,707.0,570.0,738.0
ENSMUSG00000029234,1417.0,1328.0,1399.0,1493.0,1283.0,1269.0
ENSMUSG00000029235,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029236,2.0,2.0,2.0,2.0,2.0,13.0
ENSMUSG00000029238,1523.0,1068.0,1240.0,1087.0,689.0,1124.0
ENSMUSG00000029245,3284.0,2490.0,5035.0,2644.0,1973.0,4233.0
ENSMUSG00000029246,553.61,464.24,590.66,543.53,442.43,520.75
ENSMUSG00000029247,4025.39,3921.76,4321.34,4489.47,3997.57,4510.25
ENSMUSG00000029248,209.0,156.0,206.0,192.0,165.0,179.0
ENSMUSG00000029249,624.0,453.0,620.0,556.0,482.0,478.0
ENSMUSG00000029250,2541.0,2479.0,2922.0,2593.0,1934.0,2429.0
ENSMUSG00000029253,637.98,537.99,582.0,577.98,476.97,389.0
ENSMUSG00000029254,864.0,618.0,943.0,846.0,941.0,864.0
ENSMUSG00000029255,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029260,3.0,0.0,0.0,0.0,3.0,0.0
ENSMUSG00000029263,1271.0,892.0,1138.0,1004.0,640.0,737.68
ENSMUSG00000029265,828.0,606.0,635.0,758.0,558.0,640.0
ENSMUSG00000029267,873.0,787.64,835.48,741.0,569.0,750.85
ENSMUSG00000029268,16888.63,9044.13,11007.0,12514.97,8857.45,7341.99
ENSMUSG00000029269,779.0,491.0,595.0,719.0,739.0,877.0
ENSMUSG00000029270,500.02,496.26,490.48,572.99,263.58,495.07
ENSMUSG00000029272,1621.0,2157.0,1926.0,2420.0,1653.0,2263.0
ENSMUSG00000029273,8301.0,8272.0,6922.0,9739.0,5917.0,6202.0
ENSMUSG00000029275,5.0,4.0,11.0,13.0,19.0,7.0
ENSMUSG00000029276,120.0,131.62,161.9,157.9,151.95,158.89
ENSMUSG00000029279,1557.0,1937.0,2067.0,2050.0,1445.0,1843.0
ENSMUSG00000029280,15.0,5.58,9.35,0.0,293.31,0.0
ENSMUSG00000029281,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029282,0.0,0.0,0.0,0.0,3.0,0.0
ENSMUSG00000029283,238.0,250.0,289.0,228.0,171.0,333.0
ENSMUSG00000029286,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029287,781.0,711.0,872.97,746.0,708.0,764.0
ENSMUSG00000029288,0.0,3.0,2.0,1.0,3.0,0.0
ENSMUSG00000029290,749.0,735.0,803.0,704.0,504.0,840.0
ENSMUSG00000029291,8326.0,9099.0,9764.0,9367.0,6385.0,9683.0
ENSMUSG00000029298,65.0,69.0,46.41,48.17,45.0,31.0
ENSMUSG00000029299,20.0,14.0,21.0,15.0,17.0,9.0
ENSMUSG00000029304,7793.99,8137.0,11979.0,11144.0,12897.98,16419.0
ENSMUSG00000029306,1853.0,1598.0,2794.0,2040.0,2787.0,4582.0
ENSMUSG00000029307,448.0,454.0,1021.0,668.0,1155.0,1372.0
ENSMUSG00000029309,2566.0,3458.0,2893.0,3794.0,2048.0,2903.0
ENSMUSG00000029310,1540.57,1946.04,1841.29,1990.82,1599.38,2269.8
ENSMUSG00000029311,5220.0,6456.0,6168.0,7146.0,4953.0,6535.0
ENSMUSG00000029312,813.0,856.0,861.0,888.0,565.0,876.0
ENSMUSG00000029313,2262.0,1929.0,2358.0,2154.0,1526.0,1805.0
ENSMUSG00000029314,1517.88,1606.83,1860.81,1715.56,1199.91,1890.94
ENSMUSG00000029319,2629.84,3062.97,2473.85,3301.78,2335.82,2886.94
ENSMUSG00000029320,1.0,1.0,2.0,0.0,2.0,0.0
ENSMUSG00000029321,7.0,6.0,11.0,10.0,16.0,12.0
ENSMUSG00000029322,184.0,153.0,162.0,211.0,217.0,158.0
ENSMUSG00000029326,973.0,1130.0,1084.0,1182.0,823.0,1058.0
ENSMUSG00000029328,3223.0,4036.0,5439.84,4211.0,4231.98,4071.0
ENSMUSG00000029330,8501.0,8413.0,9218.0,8758.0,6426.0,8436.0
ENSMUSG00000029331,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029333,131.0,95.0,105.0,149.0,117.0,101.0
ENSMUSG00000029334,15.0,9.0,21.0,16.0,14.0,12.0
ENSMUSG00000029335,477.0,370.0,704.0,568.0,518.0,627.0
ENSMUSG00000029337,0.0,2.0,0.0,0.0,1.0,0.0
ENSMUSG00000029338,279.0,217.0,311.0,258.0,337.0,282.0
ENSMUSG00000029343,2.0,14.0,3.0,15.0,5.0,5.0
ENSMUSG00000029344,710.0,799.0,903.0,1021.0,882.0,853.0
ENSMUSG00000029345,1710.08,1638.5,1823.02,1728.19,1298.6,1466.21
ENSMUSG00000029346,334.92,378.5,317.98,456.81,277.4,402.79
ENSMUSG00000029348,160.0,188.0,223.0,198.0,179.0,180.0
ENSMUSG00000029352,12.0,14.0,3.0,21.0,4.0,13.0
ENSMUSG00000029359,3335.0,4946.0,3623.0,4929.0,3426.0,4931.0
ENSMUSG00000029360,21.14,30.98,18.83,18.62,17.21,50.38
ENSMUSG00000029361,245.0,144.0,218.0,211.0,94.0,180.0
ENSMUSG00000029363,855.28,849.9,788.59,908.47,670.39,844.75
ENSMUSG00000029364,3462.69,3726.02,3005.38,3902.49,2823.4,3132.22
ENSMUSG00000029366,668.0,517.0,729.0,567.0,484.0,537.0
ENSMUSG00000029368,1.0,0.0,1.0,4.0,1.0,0.0
ENSMUSG00000029369,1.0,1.0,1.0,0.0,2.0,1.0
ENSMUSG00000029370,159.0,198.0,211.0,221.0,160.0,197.0
ENSMUSG00000029371,585.0,806.0,858.0,829.0,633.0,651.0
ENSMUSG00000029372,277.0,136.0,53.0,44.0,122.0,82.0
ENSMUSG00000029373,173.0,140.0,96.0,102.0,102.0,161.0
ENSMUSG00000029375,26.0,42.0,39.0,48.0,31.0,28.0
ENSMUSG00000029376,501.94,490.56,513.0,499.0,446.0,477.0
ENSMUSG00000029377,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000029378,27.0,48.0,47.0,47.0,23.0,48.0
ENSMUSG00000029379,2.0,1.0,3.0,1.0,4.0,0.0
ENSMUSG00000029380,8.0,15.0,10.0,1.0,10.0,1.0
ENSMUSG00000029381,3615.0,3175.0,4582.0,3557.0,2706.0,3094.0
ENSMUSG00000029384,15.0,21.0,25.0,9.0,14.0,21.0
ENSMUSG00000029385,692.0,691.0,787.0,722.0,645.0,745.0
ENSMUSG00000029386,1161.0,1073.0,1168.0,1132.0,1008.0,1114.0
ENSMUSG00000029387,641.0,807.0,828.0,740.0,596.0,790.0
ENSMUSG00000029388,953.0,941.0,975.0,1096.0,863.0,1046.0
ENSMUSG00000029389,468.0,575.0,633.0,515.0,441.0,539.0
ENSMUSG00000029390,8582.4,8958.71,8725.76,10024.58,8477.32,9804.12
ENSMUSG00000029392,590.85,732.7,701.26,741.35,649.05,730.23
ENSMUSG00000029394,1864.02,2222.4,1924.53,2371.05,2166.38,2522.91
ENSMUSG00000029397,1442.12,1464.74,1541.39,1726.5,1382.81,1855.91
ENSMUSG00000029401,785.0,947.0,711.0,1026.0,755.0,1048.0
ENSMUSG00000029402,330.0,409.0,417.0,439.0,333.0,515.0
ENSMUSG00000029403,1527.36,1428.2,1740.0,1635.01,1231.18,1478.47
ENSMUSG00000029404,889.0,1384.0,1088.0,1373.0,1224.0,1627.0
