,WT2_S2_L001,WT1_S1_L001,KO1_S4_L001,WT3_S3_L001,KO2_S5_L001,KO3_S6_L001
ENSMUSG00000000435,0.0,0.0,2.0,1.0,0.0,0.0
ENSMUSG00000000439,821.42,798.98,988.37,865.95,849.79,882.77
ENSMUSG00000000440,456.0,631.0,570.0,603.0,366.0,397.0
ENSMUSG00000000441,3563.58,3678.02,3901.63,3975.05,3039.21,4013.23
ENSMUSG00000000486,111.0,167.0,116.0,114.0,129.0,112.0
ENSMUSG00000000489,122.0,140.0,197.0,185.0,182.0,162.0
ENSMUSG00000000530,301.0,312.0,359.0,361.0,280.0,364.0
ENSMUSG00000000531,306.0,315.0,383.0,321.0,360.0,376.0
ENSMUSG00000000532,2021.0,1580.0,2024.0,1843.0,1423.0,1715.0
ENSMUSG00000000538,2831.28,2790.0,3054.0,2931.0,2127.0,2606.0
ENSMUSG00000000544,0.0,1.0,2.0,2.0,2.0,2.0
ENSMUSG00000000552,604.0,706.0,713.0,687.0,392.0,640.0
ENSMUSG00000000555,174.0,152.0,191.0,158.0,179.0,219.0
ENSMUSG00000000560,9.0,3.0,8.0,15.0,14.0,3.0
ENSMUSG00000000561,1623.71,1563.06,1825.48,1731.76,1391.7,1998.95
ENSMUSG00000000562,0.0,2.0,4.0,0.0,4.0,6.0
ENSMUSG00000000563,8401.87,10348.5,8967.71,10846.29,8634.79,10942.3
ENSMUSG00000000567,1176.0,1225.0,1127.0,1189.0,885.0,1139.0
ENSMUSG00000000568,2308.68,2603.84,3668.85,2727.0,2213.0,3182.0
ENSMUSG00000000579,2184.75,2287.19,2367.92,2216.96,1700.56,2060.25
ENSMUSG00000000581,1013.0,1339.0,1088.0,1249.0,900.0,1461.0
ENSMUSG00000000594,1524.0,1741.0,1594.0,1669.0,1532.0,1783.0
ENSMUSG00000000600,970.0,787.0,985.0,935.0,693.0,837.0
ENSMUSG00000000605,4059.0,3455.0,4082.0,3661.0,2886.0,3420.0
ENSMUSG00000000606,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUSG00000000617,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000627,310.0,357.0,539.0,356.0,312.0,449.0
ENSMUSG00000000628,2067.0,1548.0,2327.0,1619.0,1424.0,1405.0
ENSMUSG00000000631,3053.0,2578.0,2814.0,3068.0,1717.0,2522.0
ENSMUSG00000000632,34.0,14.0,17.0,31.0,7.0,19.0
ENSMUSG00000000673,6.0,8.0,10.0,4.0,14.0,23.0
ENSMUSG00000000682,347.0,421.0,325.0,384.0,455.0,339.0
ENSMUSG00000000686,36.86,27.55,43.43,30.43,27.74,13.61
ENSMUSG00000000690,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000693,194.9,327.13,338.15,334.02,262.32,330.13
ENSMUSG00000000701,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000706,6.0,1.0,8.0,5.0,1.0,9.0
ENSMUSG00000000708,4616.73,3477.93,4626.9,4332.81,3310.94,3357.93
ENSMUSG00000000711,4799.99,3934.46,4533.71,4581.01,3717.59,4088.96
ENSMUSG00000000724,0.0,2.0,0.0,0.0,4.0,1.0
ENSMUSG00000000730,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000731,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000732,229.0,311.0,422.0,286.0,400.0,295.0
ENSMUSG00000000738,1563.0,1791.0,1836.0,1948.0,1355.0,1792.0
ENSMUSG00000000739,56.0,77.0,91.0,83.0,87.0,107.0
ENSMUSG00000000740,9410.52,13640.45,10070.49,13768.98,11616.44,15173.96
ENSMUSG00000000743,3140.36,3440.0,3058.67,3703.0,3078.82,3857.21
ENSMUSG00000000751,2092.0,2595.0,2472.0,2649.0,1923.0,2645.0
ENSMUSG00000000753,3469.0,4305.0,5469.0,4706.0,4968.0,6747.0
ENSMUSG00000000759,1246.0,1029.0,1096.0,1162.0,1045.0,992.0
ENSMUSG00000000766,0.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000000776,544.0,565.0,552.0,520.0,461.0,570.0
ENSMUSG00000000782,227.0,188.0,285.0,230.0,278.0,250.0
ENSMUSG00000000787,10084.0,7848.0,9645.0,11899.0,6946.0,9709.0
ENSMUSG00000000791,5.0,13.0,10.0,13.0,17.0,3.0
ENSMUSG00000000792,858.0,1139.0,1074.0,1137.0,893.0,899.0
ENSMUSG00000000794,88.0,80.0,135.0,105.0,63.0,101.0
